fold,générateur,ratio,N,model,RMSE
0,CTGAN,1,17,RF,5.733876748642349
0,CTGAN,1,17,XGBoost,5.508449812220711
0,CTGAN,1,17,CatBoost,5.424518081467984
0,CTGAN,1,17,LightGBM,5.6347960581727765
0,CTGAN,1,19,RF,5.753968671816172
0,CTGAN,1,19,XGBoost,5.625932638809072
0,CTGAN,1,19,CatBoost,5.4456491630866735
0,CTGAN,1,19,LightGBM,5.7410453750439405
0,CTGAN,2,1,RF,7.893505861441435
0,CTGAN,2,1,XGBoost,7.579769577226769
0,CTGAN,2,1,CatBoost,7.516649273753752
0,CTGAN,2,1,LightGBM,7.527076657995842
0,CTGAN,2,2,RF,7.213346802268793
0,CTGAN,2,2,XGBoost,7.3643972933681345
0,CTGAN,2,2,CatBoost,7.277368226357131
0,CTGAN,2,2,LightGBM,7.637304259539949
0,CTGAN,2,3,RF,5.9267439903309125
0,CTGAN,2,3,XGBoost,6.96850745860308
0,CTGAN,2,3,CatBoost,6.193002853795486
0,CTGAN,2,3,LightGBM,5.830837388106688
0,CTGAN,2,4,RF,6.017824989781083
0,CTGAN,2,4,XGBoost,6.273385549004532
0,CTGAN,2,4,CatBoost,5.975654662043381
0,CTGAN,2,4,LightGBM,6.176228775425394
0,CTGAN,2,5,RF,5.6010485454417465
0,CTGAN,2,5,XGBoost,5.86842196768366
0,CTGAN,2,5,CatBoost,5.497710082200605
0,CTGAN,2,5,LightGBM,5.632156357324831
0,CTGAN,2,6,RF,5.615653666214796
0,CTGAN,2,6,XGBoost,5.835684361832267
0,CTGAN,2,6,CatBoost,5.400127652852255
0,CTGAN,2,6,LightGBM,5.632156357324831
0,CTGAN,2,7,RF,5.720486065586896
0,CTGAN,2,7,XGBoost,5.818580435870382
0,CTGAN,2,7,CatBoost,5.346454339226021
0,CTGAN,2,7,LightGBM,5.548925012703102
0,CTGAN,2,8,RF,5.533033700180883
0,CTGAN,2,8,XGBoost,5.709884249368444
0,CTGAN,2,8,CatBoost,5.247687652363508
0,CTGAN,2,8,LightGBM,5.4653679949311345
0,CTGAN,2,9,RF,5.5643290137822925
0,CTGAN,2,9,XGBoost,5.780472776370802
0,CTGAN,2,9,CatBoost,5.297928485297107
0,CTGAN,2,9,LightGBM,5.498954909192781
0,CTGAN,2,10,RF,5.596553722184302
0,CTGAN,2,10,XGBoost,5.810312443766272
0,CTGAN,2,10,CatBoost,5.321643674366616
0,CTGAN,2,10,LightGBM,5.544718288622385
0,CTGAN,2,12,RF,5.649892097726413
0,CTGAN,2,12,XGBoost,5.845226989149007
0,CTGAN,2,12,CatBoost,5.240421205127436
0,CTGAN,2,12,LightGBM,5.4687822382503475
0,CTGAN,2,14,RF,5.741847604074603
0,CTGAN,2,14,XGBoost,5.836040571625413
0,CTGAN,2,14,CatBoost,5.409379005838839
0,CTGAN,2,14,LightGBM,5.502401243128623
0,CTGAN,2,17,RF,5.83283568529464
0,CTGAN,2,17,XGBoost,5.5672322581665385
0,CTGAN,2,17,CatBoost,5.375127097440296
0,CTGAN,2,17,LightGBM,5.159303748200261
0,CTGAN,2,19,RF,5.796356436134143
0,CTGAN,2,19,XGBoost,5.987719269902682
0,CTGAN,2,19,CatBoost,5.466206832676106
0,CTGAN,2,19,LightGBM,5.463536565449735
0,CTGAN,5,1,RF,8.78315709420246
0,CTGAN,5,1,XGBoost,8.183795505281156
0,CTGAN,5,1,CatBoost,8.099638668977832
0,CTGAN,5,1,LightGBM,8.527100105838759
0,CTGAN,5,2,RF,7.553956304199965
0,CTGAN,5,2,XGBoost,8.073043901424816
0,CTGAN,5,2,CatBoost,7.229888251132674
0,CTGAN,5,2,LightGBM,8.137915424059072
0,CTGAN,5,3,RF,6.684300930577101
0,CTGAN,5,3,XGBoost,7.8721312716941565
0,CTGAN,5,3,CatBoost,6.560986806581793
0,CTGAN,5,3,LightGBM,6.811526900120447
0,CTGAN,5,4,RF,6.477517186115692
0,CTGAN,5,4,XGBoost,7.0688477881259235
0,CTGAN,5,4,CatBoost,6.402937701664644
0,CTGAN,5,4,LightGBM,6.790520322797997
0,CTGAN,5,5,RF,6.2913020419954035
0,CTGAN,5,5,XGBoost,6.964670371513189
0,CTGAN,5,5,CatBoost,6.254088291896079
0,CTGAN,5,5,LightGBM,6.213986581710025
0,CTGAN,5,6,RF,6.278070249964583
0,CTGAN,5,6,XGBoost,6.875478215063441
0,CTGAN,5,6,CatBoost,6.303985874113685
0,CTGAN,5,6,LightGBM,6.213986581710025
