Rx_lat,Rx_lon,Tx_id,City,Tx_lat,Tx_lon,Distance,Tx_power,Tx_alt,Tx_antenna_height,Tx_height,Freq,Rx_antenna_height,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,Rx_alt,Slope_Tx_Rx,Roughness_Tx_Rx,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Slope_Local_Rx_50m,Roughness_Local_Rx_50m,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment
6.37841,2.37462,COTO,cotonou,6.352268,2.402957,4264.614873860844,21238.37353,9.0,100.0,109.0,570.0,10,11.782398343086243,312.87095233956984,1.3059077660709264,1.7823983430862427,-0.00044862309813777323,1.1587221191467265,-0.0004429704435281656,1.1596831437930206,0.0002458329261597996,0.012061986361609817,1,-1.0,-1.0,0,0,2,6,urban
6.37908,2.37213,COTO,cotonou,6.352268,2.402957,4519.3038109311565,21238.37353,9.0,100.0,109.0,570.0,10,11.861634731292725,311.1925901690746,1.2313315790733117,1.8616347312927246,-0.0004014650682585795,1.1457854814488961,-0.00036468851466232285,1.1463414813598285,0.00192631177955413,0.03886225086249538,1,-1.0,-1.0,0,0,0,1,urban
6.37993,2.37218,COTO,cotonou,6.352268,2.402957,4577.406956623416,21238.37353,9.0,100.0,109.0,570.0,10,12.024370193481445,312.1267815920467,1.2136703803211055,2.0243701934814453,-0.0003516341755949712,1.1565367258157495,-0.00032553598808039545,1.153889918497598,0.0020541338705709947,0.07490288443878305,1,-1.0,-1.0,0,0,0,2,urban
6.37683,2.3693,COTO,cotonou,6.352268,2.402957,4609.1561845362785,21238.37353,9.0,100.0,109.0,570.0,10,12.065630435943604,306.29168780385936,1.2048000619126065,2.0656304359436035,-0.000342944784561001,1.1950057269488072,-0.00033426427433633395,1.1925784984264827,0.0015575925509134928,0.07759844116271768,1,-1.0,-1.0,0,0,2,7,urban
6.37478,2.37078,COTO,cotonou,6.352268,2.402957,4344.135720394242,21238.37353,9.0,100.0,109.0,570.0,10,11.518225193023682,305.1460842191564,1.2854932332322344,1.5182251930236816,-0.0005031646531203698,1.2020688072179408,-0.0004642482399121534,1.2085287354715974,0.0015714611451223524,0.02913111896415186,1,-1.0,-1.0,0,0,0,10,urban
6.37511,2.36826,COTO,cotonou,6.352268,2.402957,4595.366788425727,21238.37353,9.0,100.0,109.0,570.0,10,12.08018445968628,303.5227848388515,1.2082328745280677,2.0801844596862793,-0.0002276330412348861,1.244250339607784,-0.0003257442966084866,1.242478635173943,0.0021699473088951805,0.07669598154791646,1,-1.0,-1.0,0,0,2,12,urban
6.37389,2.36927,COTO,cotonou,6.352268,2.402957,4428.1565586928555,21238.37353,9.0,100.0,109.0,570.0,10,11.794099569320679,302.85739524143435,1.2575421428930342,1.7940995693206787,-0.0004191070045438311,1.2595132422729887,-0.0004128953350914849,1.2607184511423124,0.0009973535935084024,0.05356064149655248,1,-1.0,-1.0,0,0,0,0,urban
6.37257,2.36894,COTO,cotonou,6.352268,2.402957,4382.38609334695,21238.37353,9.0,100.0,109.0,570.0,10,11.701730608940125,300.987455757398,1.2718789130343995,1.7017306089401245,-0.00045470767010366564,1.286784195516694,-0.0004269656449318877,1.2874009906189754,0.0016709770545489024,0.05356367143508036,1,-1.0,-1.0,0,0,3,2,urban
6.37001,2.36834,COTO,cotonou,6.352268,2.402957,4303.298968034905,21238.37353,9.0,100.0,109.0,570.0,10,11.536815404891968,297.28197289727126,1.2974405574556882,1.5368154048919678,-0.0005023555623160468,1.36329331255582,-0.00048792982754642024,1.3696750379323543,0.00026236673196156817,0.015162695139224835,1,-1.0,-1.0,0,0,1,11,urban
6.3697,2.36551,COTO,cotonou,6.352268,2.402957,4569.624350402508,21238.37353,9.0,100.0,109.0,570.0,10,11.552399516105652,295.10022487825086,1.2216518638584335,1.5523995161056519,-0.00046557956862997143,1.4522784069309032,-0.00046278240353319304,1.4540078147262236,0.0005658337843093547,0.01804183838852278,1,-1.0,-1.0,0,0,1,10,urban
