Ref,Temp,Rhum,Wdir,Wspd,Pres,Distance,Tx_power,Tx_height,Freq,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,E_field,Tx_antenna_height,Rx_antenna_height
cotonou_1171,34.0,32.0,222.0,5.4,1009.0,5178.6043278147945,21238.37353,109.0,570.0,-0.0001464531308128,1.08105563830407,12.915658950805664,315.52097948136225,1.0629496420510016,0,4888.021319440417,4815.375567346822,2,12,1,12,1,57.6,100.0,10
cotonou_1361,34.0,32.0,222.0,5.4,1009.0,4914.946569475132,21238.37353,109.0,570.0,-8.376473967919897e-05,1.1157990838888543,13.232849359512327,315.23830714716746,1.1162602120423375,1,-1.0,-1.0,0,0,2,12,1,53.4,100.0,10
cotonou_1392,34.0,32.0,222.0,5.4,1009.0,4687.106096817543,21238.37353,109.0,570.0,-0.0002036194761091,1.116184155946373,12.70855164527893,316.92367894888105,1.1769133255878548,1,-1.0,-1.0,0,0,0,15,1,64.4,100.0,10
cotonou_1363,32.1,54.0,211.0,13.0,1008.6,4470.9970542526735,21238.37353,109.0,570.0,-0.0002354833003601,1.134068228364734,12.442737579345703,317.17831939646027,1.2371879682565103,1,-1.0,-1.0,0,0,3,0,1,70.5,100.0,10
cotonou_1372,32.1,54.0,211.0,13.0,1008.6,4152.123972139329,21238.37353,109.0,570.0,-0.0001205613427128,1.0557793892455307,12.916407346725464,321.36504437623745,1.3256352701218703,1,-1.0,-1.0,0,0,2,8,1,64.5,100.0,10
cotonou_1182,30.7,45.0,199.0,11.1,1008.8,4956.536160007034,21238.37353,109.0,570.0,-2.271728150306764e-05,1.1161441077018268,13.337520360946655,311.50884651274447,1.1056866632358076,1,-1.0,-1.0,0,0,7,7,1,58.1,100.0,10
cotonou_1283,30.1,50.0,198.0,11.1,1009.1,4648.079583606955,21238.37353,109.0,570.0,-0.0004637451181998,1.3779662658936933,11.512753367424011,289.01544684361073,1.2015261094521832,1,-1.0,-1.0,0,0,0,1,1,61.3,100.0,10
cotonou_1281,30.1,50.0,198.0,11.1,1009.1,4353.083056839785,21238.37353,109.0,570.0,-0.0005100790798498,1.3885688654069972,11.44884169101715,290.6532124781439,1.283764687056205,1,-1.0,-1.0,0,0,2,1,1,66.1,100.0,10
cotonou_1271,30.1,50.0,198.0,11.1,1009.1,4203.015171162527,21238.37353,109.0,570.0,-0.0005211145913624,1.3087036326878865,11.478070855140686,289.67866438639777,1.3291868601295267,1,-1.0,-1.0,0,0,3,3,1,58.0,100.0,10
cotonou_1272,30.0,55.0,310.0,7.6,1013.0,3849.293038502063,21238.37353,109.0,570.0,-0.0005382163162714,1.1405860146730875,11.691865801811218,288.90887521820343,1.448099210858559,0,-1.0,3610.158601240412,0,4,2,6,1,59.4,100.0,10
cotonou_1292,30.0,55.0,310.0,7.6,1013.0,4030.682227989706,21238.37353,109.0,570.0,-0.0005481021077025,1.338562003328123,11.49600875377655,291.36694732555304,1.3857400656619183,1,-1.0,-1.0,0,0,1,3,1,62.5,100.0,10
cotonou_1273,33.0,39.0,280.0,7.6,1012.0,4282.9682683893125,21238.37353,109.0,570.0,-0.0004900227597521,1.1739101222025703,11.586800456047058,285.63436457309666,1.3029288873174123,1,-1.0,-1.0,0,0,3,7,1,63.0,100.0,10
cotonou_1263,33.0,39.0,280.0,7.6,1012.0,4307.373857044036,21238.37353,109.0,570.0,-0.000491274624448,1.099851340353663,11.917985320091248,283.38991031068,1.291145906026079,0,4005.253446229324,3832.61321147806,5,5,2,1,1,61.3,100.0,10
cotonou_1261,33.0,39.0,280.0,7.6,1012.0,4121.304040987123,21238.37353,109.0,570.0,-0.0001244186815738,0.6103188910246721,13.161118268966677,278.59463495847257,1.3321448455321634,1,-1.0,-1.0,0,0,3,8,1,55.2,100.0,10
cotonou_1262,33.0,48.0,210.0,9.4,1011.2,4554.486036074531,21238.37353,109.0,570.0,-0.0002567001235433,0.8686399844522278,12.493179082870483,280.6371388640656,1.2138814692271056,1,-1.0,-1.0,0,0,1,15,1,68.1,100.0,10
cotonou_1253,33.0,48.0,210.0,9.4,1011.2,4519.7925512261,21238.37353,109.0,570.0,-0.0004529192556742,1.2296797913990782,11.637282371520996,285.2200132901957,1.2340411899014596,1,-1.0,-1.0,0,0,2,5,1,60.2,100.0,10
cotonou_1251,33.0,48.0,210.0,9.4,1011.2,4790.107476739341,21238.37353,109.0,570.0,-0.0004213332394023,1.2676438086014932,11.642843008041382,284.85159526210515,1.16435514739264,0,-1.0,4588.519787337485,0,3,2,3,1,67.2,100.0,10
cotonou_1241,34.0,44.0,220.0,14.8,1010.0,5053.006422081916,21238.37353,109.0,570.0,-0.0003769555519431,1.2798522612146228,11.69238817691803,283.92048856956905,1.1032296349173805,1,-1.0,-1.0,0,0,1,2,1,65.7,100.0,10
cotonou_1291,33.0,49.0,210.0,16.6,1009.0,3770.1920045211327,21238.37353,109.0,570.0,-0.0005621920650204,1.292307432976471,11.598401188850405,291.8990082789819,1.4798873494294469,1,-1.0,-1.0,0,0,1,6,1,66.8,100.0,10
cotonou_1391,31.8,57.0,210.0,13.0,1008.6,4953.484283830751,21238.37353,109.0,570.0,-0.0002134789304615,1.084820581032986,12.66442894935608,317.0471161529701,1.1141502811082764,0,-1.0,4735.0941951648665,0,1,0,3,1,62.5,100.0,10
cotonou_1131,31.0,63.0,210.0,16.6,1009.0,5866.319059730374,21238.37353,109.0,570.0,-4.711656859426788e-05,1.3231297075781865,13.395543575286863,295.2964839826799,0.9336769648808098,0,-1.0,5325.536140396511,0,11,0,4,1,58.3,100.0,10
