Ref,Rx_lat,Rx_lon,Rx_power,E_field,FSM_spread,Temp,Rhum,Prcp,Wdir,Wpgt,Wspd,Pres,Session_date,Session_time,City,Tx_id,Tx_lat,Tx_lon,Distance,Tx_power,Tx_alt,Tx_antenna_height,Tx_height,Freq,Tx_id_2nd,Freq_2nd,tx_ratio,Rx_alt,Slope_Tx_Rx,Roughness_Tx_Rx,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Slope_Local_Rx_50m,Roughness_Local_Rx_50m,Rx_antenna_height,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment
cotonou_1231,6.3688,2.35991,,53.4,1.3999999999999986,33.0,49.0,0.0,210.0,,16.6,1009.0,2023-12-22,13:49:55,cotonou,COTO,6.352268,2.402957,5101.516546401056,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.3596784094558272,2.411372184753418,-0.0002540177143065,1.4466231680236126,-0.0002204246761262,1.4402400018802322,0.0019447538587782,0.083525401026029,10,12.411372184753418,291.13011155502363,1.084669537317147,1,-1.0,-1.0,0,0,5,9,urban
cotonou_1291,6.36491,2.37131,58.7,66.8,6.599999999999994,33.0,49.0,0.0,210.0,,16.6,1009.0,2023-12-22,14:11:30,cotonou,COTO,6.352268,2.402957,3770.1920045211327,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,2.0426176656661994,1.5984011888504028,-0.0005612545637377,1.271383224205914,-0.0005621920650204,1.292307432976471,-0.0008030613263448,0.0295850453688838,10,11.598401188850405,291.8990082789819,1.4798873494294469,1,-1.0,-1.0,0,0,1,6,urban
cotonou_1391,6.38495,2.37234,57.6,62.5,0.2000000000000028,31.8,57.0,0.0,210.0,,13.0,1008.6,2023-12-22,14:32:21,cotonou,COTO,6.352268,2.402957,4953.484283830751,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.156849569276436,2.664428949356079,-0.0002093498965343,1.087765320570793,-0.0002134789304615,1.084820581032986,-0.0007320075964179,0.0212340374055768,10,12.66442894935608,317.0471161529701,1.1141502811082764,0,-1.0,4735.0941951648665,0,1,0,3,urban
cotonou_1121,6.37797,2.35541,54.6,57.8,2.1999999999999957,31.0,63.0,0.0,210.0,,16.6,1009.0,2023-12-22,16:49:33,cotonou,ABCA,6.4302,2.3471,5848.720370109762,21238.37353,17.0,150.0,167.0,570.0,COTO,570.0,1.0223210450872875,2.5475146770477295,-0.0021650019670144,3.304052567466661,-0.0021262879299028,3.287330543694217,0.001098887125651,0.0424513584624912,10,12.54751467704773,171.01481209088047,1.5127102515310211,1,-1.0,-1.0,0,0,3,1,urban
cotonou_1131,6.37481,2.35496,54.4,58.3,3.6000000000000014,31.0,63.0,0.0,210.0,,16.6,1009.0,2023-12-22,17:05:02,cotonou,COTO,6.352268,2.402957,5866.319059730374,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.0546452038700038,3.3955435752868652,-5.559177812247161e-05,1.3296626127437063,-4.7116568594267875e-05,1.3231297075781865,8.745988210042332e-06,0.0126627382964393,10,13.395543575286863,295.2964839826799,0.9336769648808098,0,-1.0,5325.536140396511,0,11,0,4,urban
cotonou_1132,6.3727,2.35484,56.6,58.6,1.8999999999999984,31.0,63.0,0.0,210.0,,16.6,1009.0,2023-12-22,17:20:27,cotonou,COTO,6.352268,2.402957,5783.257512357362,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.1094454199791497,3.2295823097229004,-8.564554596249884e-05,1.359174304026339,-8.602477842490749e-05,1.352221980701822,-0.0007882868518914,0.0253195182743022,10,13.2295823097229,293.13790396198067,0.9487281544720012,0,-1.0,5296.490346988606,0,4,1,3,urban
cotonou_1142,6.37146,2.35336,46.8,53.7,0.8999999999999986,29.5,69.0,0.0,210.0,,9.4,1009.5,2023-12-22,17:32:35,cotonou,COTO,6.352268,2.402957,5883.492240735914,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.1103534827696642,3.0848917961120605,-0.0001052622060888,1.349638108573146,-7.413106197302033e-05,1.3462295018211272,0.0021028556665826,0.0582469496926933,10,13.08489179611206,291.2765253154271,0.933976607409194,0,-1.0,5400.079050615327,0,10,1,3,urban
cotonou_1141,6.37047,2.35458,48.3,51.6,0.7000000000000028,29.5,69.0,0.0,210.0,,9.4,1009.5,2023-12-22,17:51:39,cotonou,COTO,6.352268,2.402957,5718.361684502933,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.1641548674576474,3.075225591659546,-0.000111135124045,1.3744212536523197,-0.0001175130175391,1.3674877082653962,-0.0004559775193532,0.0259079661863369,10,13.075225591659546,290.73855169670514,0.9610391207591662,0,-1.0,4973.48491197249,0,4,0,4,urban
cotonou_1252,6.36813,2.36298,53.6,58.5,1.8000000000000045,29.5,69.0,0.0,210.0,,9.4,1009.5,2023-12-22,18:09:39,cotonou,COTO,6.352268,2.402957,4758.155775367018,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.489117619892438,1.6107748746871948,-0.0004352562976729,1.468802043326245,-0.0004142059302478,1.470715608824396,0.0014626721541086,0.0689458771770822,10,11.610774874687197,291.7658469716001,1.172557775499618,1,-1.0,-1.0,0,0,2,0,urban
cotonou_1282,6.36121,2.36079,61.4,61.2,6.600000000000001,29.0,75.0,0.0,200.0,,13.0,1010.0,2023-12-22,18:32:44,cotonou,COTO,6.352268,2.402957,4768.991639645763,21238.37353,9.0,100.0,109.0,570.0,ABCA,570.0,1.631025055278533,1.9778821468353271,-0.0003626737669587,1.092687946847024,-0.0003598626109137,1.104626373000552,-0.0001975562837388,0.0073817908215081,10,11.977882146835327,282.04710613210995,1.1654856087733434,0,-1.0,4205.122888665602,0,1,0,0,urban
